extraction_id,lab_id,stor,qpcr_plate,cq,assay_conc,extracted_conc
odo_0123d.TK1,odo_0123,dry,10,32.18464279,57.10937119,7.309999512
odo_0124d.TK1,odo_0124,dry,10,31.87212563,70.17204285,8.982021484
odo_0125d.TK1,odo_0125,dry,10,32.73022842,39.85985565,5.102061523
odo_0126d.TK1,odo_0126,dry,10,33.37805939,26.00739098,3.328946045
odo_0127d.TK1,odo_0127,dry,10,Undetermined,,
odo_0128d.TK1,odo_0128,dry,10,32.9719429,33.98959351,4.350667969
odo_0129d.TK1,odo_0129,dry,10,33.70836639,20.91932869,2.677674072
odo_0130d.TK1,odo_0130,dry,10,35.57068253,6.130098343,0.784652588
odo_0131d.TK1,odo_0131,dry,10,32.41572189,49.0412941,6.277285645
odo_0132d.TK1,odo_0132,dry,10,35.19580841,7.848264217,1.00457782
odo_0133d.TK1,odo_0133,dry,10,36.15752792,4.163756847,0.532960876
odo_0134d.TK1,odo_0134,dry,10,37.24428558,2.034255266,0.260384674
odo_0135d.TK1,odo_0135,dry,10,31.41190338,95.03878021,12.16496387
odo_0136d.TK1,odo_0136,dry,10,28.87779236,504.9864197,64.63826172
odo_0137d.TK1,odo_0137,dry,10,29.04862595,451.2106018,57.75495703
odo_0138d.TK1,odo_0138,dry,10,33.81125259,19.54776001,2.502113281
odo_0123E.TK1,odo_0123,EtOH,10,34.2550621,14.59010315,1.867533203
odo_0124E.TK1,odo_0124,EtOH,10,30.60094452,162.1938934,20.76081836
odo_0125E.TK1,odo_0125,EtOH,10,31.44080162,93.24570465,11.9354502
odo_0126E.TK1,odo_0126,EtOH,10,32.65158463,41.98046112,5.373499023
odo_0127E.TK1,odo_0127,EtOH,10,32.15229034,58.34022903,7.467549316
odo_0128E.TK1,odo_0128,EtOH,10,33.01903534,32.95079803,4.217702148
odo_0129E.TK1,odo_0129,EtOH,10,33.32016754,27.01892662,3.458422607
odo_0130E.TK1,odo_0130,EtOH,10,34.55154419,12.0002861,1.536036621
odo_0131E.TK1,odo_0131,EtOH,10,34.69244003,10.93605614,1.399815186
odo_0132E.TK1,odo_0132,EtOH,10,35.95269012,4.765619278,0.609999268
odo_0133E.TK1,odo_0133,EtOH,10,35.34667969,7.105380058,0.909488647
odo_0134E.TK1,odo_0134,EtOH,10,34.80850601,10.13065052,1.296723267
odo_0135E.TK1,odo_0135,EtOH,10,33.74840546,20.37449074,2.607934814
odo_0136E.TK1,odo_0136,EtOH,10,32.1778717,57.36481094,7.342695801
odo_0137E.TK1,odo_0137,EtOH,10,34.09565353,16.20646858,2.074427979
odo_0138E.TK1,odo_0138,EtOH,10,32.3133812,52.46341324,6.715316895
odo_0123.sw1,odo_0123,swab,10,31.18457222,110.4011154,14.13134277
odo_0124.sw1,odo_0124,swab,10,30.95784569,128.1955566,16.40903125
odo_0125.sw1,odo_0125,swab,10,26.5640564,2320.476074,297.0209375
