key,ext_date,extraction_id
1,10/16/17,odo_0332A.sw1
2,10/16/17,odo_0333A.sw1
3,10/16/17,odo_0334A.sw1
4,10/16/17,odo_0335A.sw1
5,10/16/17,odo_0336A.sw1
6,10/16/17,odo_0337A.sw1
7,10/16/17,odo_0338A.sw1
8,10/16/17,odo_0339A.sw1
9,10/16/17,odo_0340A.sw1
10,10/16/17,odo_0341A.sw1
11,10/16/17,odo_0342A.sw1
12,10/16/17,odo_0343A.sw1
13,10/16/17,odo_0344A.sw1
14,10/16/17,odo_0345.sw1
15,10/16/17,odo_0346A.sw1
16,10/16/17,odo_0347A.sw1
17,10/16/17,odo_0348A.sw1
18,10/16/17,odo_0349A.sw1
19,10/16/17,odo_0350A.sw1
20,10/16/17,odo_0351A.sw1
21,10/16/17,odo_0352A.sw1
22,10/16/17,odo_0353A.sw1
23,10/16/17,odo_0354A.sw1
24,10/16/17,odo_0355A.sw1
25,10/17/17,odo_0356A.sw1
26,10/17/17,odo_0357A.sw1
27,10/17/17,odo_0358A.sw1
28,10/17/17,odo_0359A.sw1
29,10/17/17,odo_0360A.sw1
30,10/17/17,odo_0361A.sw1
31,10/17/17,odo_0362A.sw1
32,10/17/17,odo_0363A.sw1
33,10/17/17,odo_0364A.sw1
34,10/17/17,odo_0365A.sw1
35,10/17/17,odo_0366A.sw1
36,10/17/17,odo_0367A.sw1
37,10/17/17,odo_0368A.sw1
38,10/17/17,odo_0369A.sw1
39,10/17/17,odo_0370A.sw1
40,10/17/17,odo_0371A.sw1
41,10/17/17,odo_0372A.sw1
42,10/17/17,odo_0373A.sw1
43,10/17/17,odo_0374.sw1
44,10/17/17,odo_0375.sw1
45,10/17/17,odo_0376.sw1
46,10/17/17,odo_0377.sw1
47,10/17/17,odo_0378.sw1
48,10/17/17,odo_0379.sw1
49,10/17/17,odo_0380.sw1
50,10/17/17,odo_0381.sw1
51,10/17/17,odo_0382.sw1
52,10/17/17,odo_0383.sw1
53,10/17/17,odo_0384.sw1
54,10/17/17,odo_0385.sw1
55,10/17/17,odo_0386.sw1
56,10/17/17,odo_0387.sw1
57,10/17/17,odo_0388.sw1
58,10/17/17,odo_0389.sw1
59,10/17/17,odo_0390.sw1
60,10/17/17,odo_0391.sw1
61,10/17/17,odo_0392.sw1
62,10/17/17,odo_0393.sw1
63,10/17/17,odo_0394.sw1
64,10/17/17,odo_0395.sw1
65,10/17/17,odo_0396.sw1
66,10/17/17,odo_0397.sw1
67,10/17/17,odo_0398.sw1
68,10/17/17,odo_0399.sw1
69,10/17/17,odo_0400.sw1
70,10/17/17,odo_0401.sw1
71,10/17/17,odo_0402.sw1
72,10/17/17,odo_0403.sw1
73,10/20/17,odo_0404.sw1
74,10/20/17,odo_0405.sw1
75,10/20/17,odo_0406.sw1
76,10/20/17,odo_0407.sw1
77,10/20/17,odo_0408.sw1
78,10/20/17,odo_0409.sw1
79,10/20/17,odo_0410.sw1
80,10/20/17,odo_0411.sw1
81,10/20/17,odo_0412.sw1
82,10/20/17,odo_0413.sw1
83,10/20/17,odo_0414.sw1
84,10/20/17,odo_0415.sw1
85,10/20/17,odo_0416.sw1
86,10/20/17,odo_0417.sw1
87,10/20/17,odo_0418.sw1
88,10/20/17,odo_0419.sw1
89,10/20/17,odo_0420.sw1
90,10/20/17,odo_0421.sw1
91,10/20/17,odo_0422.sw1
92,10/20/17,odo_0423.sw1
93,10/20/17,odo_0424.sw1
94,10/20/17,odo_0425.sw1
95,10/20/17,odo_0426.sw1
96,10/20/17,odo_0427.sw1
97,10/20/17,odo_0428.sw1
98,10/20/17,odo_0429.sw1
99,10/20/17,odo_0430.sw1
100,10/20/17,odo_0431.sw1
101,10/20/17,odo_0432.sw1
102,10/20/17,odo_0433.sw1
103,10/20/17,odo_0434.sw1
104,10/20/17,odo_0435.sw1
105,10/20/17,odo_0436.sw1
106,10/20/17,odo_0437.sw1
107,10/20/17,odo_0438.sw1
108,10/20/17,odo_0439.sw1
109,10/20/17,odo_0440.sw1
110,10/20/17,odo_0441.sw1
111,10/20/17,odo_0442.sw1
112,10/20/17,odo_0443.sw1
113,10/20/17,odo_0444.sw1
114,10/20/17,odo_0445.sw1
115,10/20/17,odo_0446.sw1
116,10/20/17,odo_0447.sw1
117,10/20/17,odo_0448.sw1
118,10/20/17,odo_0449.sw1
119,10/20/17,odo_0450.sw1
120,10/20/17,odo_0451.sw1
121,10/23/17,odo_0452.sw1
122,10/23/17,odo_0453.sw1
123,10/23/17,odo_0454.sw1
124,10/23/17,odo_0455.sw1
125,10/23/17,odo_0456.sw1
126,10/23/17,odo_0457.sw1
127,10/23/17,odo_0458.sw1
128,10/23/17,odo_0459.sw1
129,10/23/17,odo_0460.sw1
130,10/23/17,odo_0461.sw1
131,10/23/17,odo_0462.sw1
132,10/23/17,odo_0463.sw1
133,10/23/17,odo_0464.sw1
134,10/23/17,odo_0465.sw1
135,10/23/17,odo_0466.sw1
136,10/23/17,odo_0467.sw1
137,10/23/17,odo_0468.sw1
138,10/23/17,odo_0469.sw1
139,10/23/17,odo_0470.sw1
140,10/23/17,odo_0471.sw1
141,10/23/17,odo_0472.sw1
142,10/23/17,odo_0473.sw1
143,10/23/17,odo_0474.sw1
144,10/23/17,odo_0475.sw1
145,10/24/17,odo_0335B.sw1
146,10/24/17,odo_0340B.sw1
