lab_id,transect,date_collected,collection_event,time,pile,collected_by,latitude,longitude,cond_rank,tree,grass,shrub,bare,parts_collected,notes,extracted,transect_list,collected_list,collection_event_list
odo_0332,FT18,10/12/17,1,11:22,1,"LB, KG",39.03116,-123.09781,3.5,5,95,0,0,swab x2,,10/16/17(A),FT01,10/15/17,1
odo_0333,FT18,10/12/17,1,11:33,2,"LB, KG",39.03114,-123.09776,4,5,95,0,0,swab x2,,10/16/17(A),FT01,10/16/17,1
odo_0334,FT18,10/12/17,1,11:40,3,"LB, KG",39.03112,-123.09776,4,5,95,0,0,swab x2,,10/16/17(A),FT01,10/25/17,2
odo_0335,FT18,10/12/17,1,11:46,4,"LB, KG",39.03113,-123.09774,3.5,5,95,0,0,swab x2,,10/16/17(A); 10/24/17(B),FT01,11/6/17,3
odo_0336,FT18,10/12/17,1,11:55,5,"LB, KG",39.03108,-123.09769,3.5,5,95,0,0,swab x2,"5B labeled as ""6B""--unable to determine",10/16/17(A),FT01,11/14/17,4
odo_0337,FT18,10/12/17,1,12:01,6,"LB, KG",39.03107,-123.0976,3.5,5,95,0,0,swab x2,bottom of pile was moldy,10/16/17(A),FT02,10/16/17,1
odo_0338,FT18,10/12/17,1,12:07,7,"LB, KG",39.031,-123.0975,3.5,0,100,0,0,swab x2,A and B may be different piles,10/16/17(A),FT02,10/17/17,1
odo_0339,FT18,10/12/17,1,12:14,8,"LB, KG",39.03098,-123.09746,3.5,0,100,0,0,swab x2,,10/16/17(A),FT02,10/26/17,2
odo_0340,FT18,10/12/17,1,12:18,9,"LB, KG",39.03096,-123.09744,4,0,100,0,0,swab x2,,10/16/17(A); 10/24/17(B),FT02,11/7/17,3
odo_0341,FT18,10/12/17,1,12:23,10,"LB, KG",39.03096,-123.09741,4,0,100,0,0,swab x2,10 and 11 could be same pile,10/16/17(A); 10/24/17(B),FT02,11/14/17,4
odo_0342,FT18,10/12/17,1,12:25,11,"LB, KG",39.03096,-123.09741,3.5,0,100,0,0,swab x2,10 and 11 could be same pile,10/16/17(A),FT03,10/27/17,1
odo_0343,FT18,10/12/17,1,12:31,12,"LB, KG",39.03096,-123.0974,4,0,100,0,0,swab x2,dull clump,10/16/17(A),FT03,10/29/17,1
odo_0344,FT18,10/12/17,1,12:37,13,"LB, KG",39.03093,-123.0974,3.5,0,100,0,0,swab x2,very small,10/16/17(A),FT03,11/8/17,2
odo_0345,FT18,10/12/17,1,12:37,14,"LB, KG",39.03093,-123.0974,5,0,100,0,0,swab,no 14B,10/16/17(A),FT03,11/14/17,3
odo_0346,FT18,10/12/17,1,12:43,15,"LB, KG",39.03094,-123.09734,3.5,0,100,0,0,swab x2,,10/16/17(A),FT03,12/21/17,4
odo_0347,FT18,10/12/17,1,12:43,16,"LB, KG",39.03094,-123.09731,3.5,0,100,0,0,swab x2,,10/16/17(A),FT05,10/24/17,1
odo_0348,FT18,10/12/17,1,12:52,17,"LB, KG",39.03093,-123.09731,3.5,0,100,0,0,swab x2,in a line,10/16/17(A),FT05,11/1/17,2
odo_0349,FT18,10/12/17,1,13:00,18,"LB, KG",39.03089,-123.09731,3,0,100,0,0,swab x2,in a line,10/16/17(A),FT05,11/12/17,3
odo_0350,FT18,10/12/17,1,13:08,19,"LB, KG",39.03057,-123.0972,3.5,0,100,0,0,swab x2,A and B are opposite ends of a line,10/16/17(A),FT05,11/17/17,4
odo_0351,FT18,10/12/17,1,13:08,20,"LB, KG",39.03084,-123.09728,3,0,100,0,0,swab x2,,10/16/17(A); 10/24/17(B),FT06,10/14/17,1
odo_0352,FT18,10/12/17,1,13:16,21,"LB, KG",39.03084,-123.09728,3.5,0,100,0,0,swab x2,,10/16/17(A),FT06,10/23/17,2
