lab_id,transect,date_collected,time,pile,collected_by,latitude,longitude,cond_rank,tree,grass,shrub,bare,trap_square,notes,ext_date,ext_notes
odo_1848,T1G4,6/14/18,17:32,1,SK,39.00196,-123.07993,3.5,5,90,5,,,bedding site,2018-07-24,
odo_1849,T1G4,6/14/18,17:42,2,JD,39.00208,-123.07972,3.5,5,95,,,,bedding site,2018-07-24,
odo_1850,T1G4,6/14/18,17:51,3,SK,39.00206,-123.07964,4,5,95,,,,bedding site,2018-07-24,
odo_1851,T1G4,6/14/18,17:58,4,SK,39.00206,-123.07964,4,5,95,,,,bedding site,2018-07-24,
odo_1852,T1G4,6/14/18,18:03,5,SK,39.00231,-123.07945,4,5,95,,,,,2018-07-24,
odo_1853,T1G4,6/14/18,18:27,6,SK,39.00231,-123.07945,4,10,90,,,,small pellets,2018-07-24,
odo_1854,T2G4,6/15/18,7:58,1,SK,38.99864,-123.07651,4.5,15,,,85,,"""bare""=leaf litter, hard to spot pellets",2018-07-24,
odo_1855,T2G4,6/15/18,8:03,2,SK,38.99862,-123.07655,3.5,15,,,85,,small pellets,2018-07-24,
odo_1856,T2G4,6/15/18,8:06,3,SK,38.99862,-123.07655,3.5,15,,,85,,,2018-07-24,
odo_1857,T2G4,6/15/18,8:06,4,SK,38.99862,-123.07655,4.5,15,,,85,,2 clumps,2018-07-24,
odo_1858,T2G4,6/15/18,8:17,5,SK,38.99841,-123.07696,3.5,10,50,,40,,only 4 pellets,2018-07-24,
odo_1859,T2G4,6/15/18,8:23,6,SK,38.99828,-123.07703,4.5,5,90,5,,,"small pellets ""shrub""=ferns",2018-07-24,
odo_1860,T2G4,6/15/18,8:26,7,SK,38.99828,-123.07703,4,5,90,5,,,,2018-07-24,
odo_1861,T2G4,6/15/18,8:31,8,SK,38.99828,-123.07703,4.5,5,90,5,,,seems like 2 piles mixed togehter tried to separate as much as possible,2018-07-24,
odo_1862,T2G4,6/15/18,8:31,9,SK,38.99828,-123.07703,4.5,5,90,5,,,seems like 2 piles mixed togehter tried to separate as much as possible,2018-07-24,
odo_1863,T2G4,6/15/18,8:37,10,SK,38.9982,-123.07701,3.5,5,90,5,,,only 5 pellets,2018-07-24,
odo_1864,T2G4,6/15/18,8:41,11,SK,38.99822,-123.07703,3.5,5,90,5,,,"trail might be the same as pellet 10, 12",2018-07-24,
odo_1865,T2G4,6/15/18,8:44,12,SK,38.99818,-123.07704,3.5,5,95,,,,,2018-07-24,
odo_1866,T2G4,6/15/18,8:49,13,SK,38.99815,-123.0771,3.5,5,90,,,,,2018-07-24,
odo_1867,T2G4,6/15/18,9:03,14,SK,38.99773,-123.07791,4.5,10,90,,,,under leaves,2018-07-24,
